Date,HP
24-04-2019 00:00,28.8
25-04-2019 00:00,27.9
26-04-2019 00:00,25
27-04-2019 00:00,30
28-04-2019 00:00,30.4
29-04-2019 00:00,30
30-04-2019 00:00,30.6
02-05-2019 00:00,30.4
03-05-2019 00:00,30
04-05-2019 00:00,27.5
05-05-2019 00:00,29.2
06-05-2019 00:00,29.8
07-05-2019 00:00,30.7
08-05-2019 00:00,29.4
09-05-2019 00:00,28.7
10-05-2019 00:00,27.3
11-05-2019 00:00,24.5
12-05-2019 00:00,30.7
13-05-2019 00:00,30.4
14-05-2019 00:00,32
15-05-2019 00:00,29.5
16-05-2019 00:00,29.5
17-05-2019 00:00,28.9
18-05-2019 00:00,26.3
19-05-2019 00:00,25.4
20-05-2019 00:00,26
21-05-2019 00:00,24.8
22-05-2019 00:00,25.4
23-05-2019 00:00,27.5
24-05-2019 00:00,28.1
25-05-2019 00:00,25.7
26-05-2019 00:00,13
27-05-2019 00:00,20.5
28-05-2019 00:00,15.6
29-05-2019 00:00,12.8
30-05-2019 00:00,12
31-05-2019 00:00,12.9
02-06-2019 00:00,12.6
03-06-2019 00:00,26.6
04-06-2019 00:00,27.2
05-06-2019 00:00,27.8
06-06-2019 00:00,27.4
07-06-2019 00:00,27.6
08-06-2019 00:00,25.2
09-06-2019 00:00,17
10-06-2019 00:00,29
11-06-2019 00:00,27.7
12-06-2019 00:00,29.3
13-06-2019 00:00,29.8
14-06-2019 00:00,29.9
15-06-2019 00:00,25.5
16-06-2019 00:00,26.9
17-06-2019 00:00,27.9
18-06-2019 00:00,29.2
19-06-2019 00:00,13.1
20-06-2019 00:00,29.4
21-06-2019 00:00,28.8
22-06-2019 00:00,29.1
23-06-2019 00:00,26.6
24-06-2019 00:00,32.2
25-06-2019 00:00,32.8
26-06-2019 00:00,31.3
27-06-2019 00:00,31.6
28-06-2019 00:00,32.1
29-06-2019 00:00,30.1
30-06-2019 00:00,26.6
01-07-2019 00:00,24.2
02-07-2019 00:00,25.7
03-07-2019 00:00,26.7
04-07-2019 00:00,27.5
05-07-2019 00:00,29.7
06-07-2019 00:00,28.7
07-07-2019 00:00,25.6
08-07-2019 00:00,12.1
08-07-2019 00:00,13.9
09-07-2019 00:00,13.9
09-07-2019 00:00,14.4
10-07-2019 00:00,14.2
10-07-2019 00:00,14.1
11-07-2019 00:00,14.6
11-07-2019 00:00,27.3
12-07-2019 00:00,27.4
12-07-2019 00:00,27.7
13-07-2019 00:00,27.9
14-07-2019 00:00,27.3
15-07-2019 00:00,28.2
16-07-2019 00:00,25.7
17-07-2019 00:00,26.6
18-07-2019 00:00,26.9
19-07-2019 00:00,26.4
20-07-2019 00:00,18.9
21-07-2019 00:00,21.7
22-07-2019 00:00,25.5
23-07-2019 00:00,24.6
24-07-2019 00:00,29
25-07-2019 00:00,27.3
26-07-2019 00:00,29
27-07-2019 00:00,30.8
28-07-2019 00:00,27.5
29-07-2019 00:00,28.3
30-07-2019 00:00,24.7
31-07-2019 00:00,29
01-08-2019 00:00,29.4
02-08-2019 00:00,29.6
03-08-2019 00:00,29.8
04-08-2019 00:00,30.1
05-08-2019 00:00,30.4
06-08-2019 00:00,28.2
08-08-2019 00:00,20.6
09-08-2019 00:00,22.4
10-08-2019 00:00,23.6
11-08-2019 00:00,23.8
12-08-2019 00:00,24.3
13-08-2019 00:00,24.8
14-08-2019 00:00,24.1
15-08-2019 00:00,27
16-08-2019 00:00,26.9
17-08-2019 00:00,28
18-08-2019 00:00,26.9
19-08-2019 00:00,26.2
20-08-2019 00:00,26.8
21-08-2019 00:00,25.8
22-08-2019 00:00,29.7
23-08-2019 00:00,30
24-08-2019 00:00,31.5
25-08-2019 00:00,31.1
26-08-2019 00:00,30.4
27-08-2019 00:00,30.3
28-08-2019 00:00,28.2
29-08-2019 00:00,29.6
30-08-2019 00:00,30
31-08-2019 00:00,31.5
01-09-2019 00:00,30.5
02-09-2019 00:00,29.8
03-09-2019 00:00,31
04-09-2019 00:00,27
05-09-2019 00:00,24.6
06-09-2019 00:00,24.1
08-09-2019 00:00,24.7
09-09-2019 00:00,24.7
10-09-2019 00:00,21.5
11-09-2019 00:00,21.1
12-09-2019 00:00,28.3
13-09-2019 00:00,28.3
14-09-2019 00:00,29.1
15-09-2019 00:00,29.3
16-09-2019 00:00,29.5
17-09-2019 00:00,30.3
18-09-2019 00:00,28
19-09-2019 00:00,23.2
20-09-2019 00:00,25.3
21-09-2019 00:00,26
22-09-2019 00:00,25.8
23-09-2019 00:00,26.6
24-09-2019 00:00,26.1
25-09-2019 00:00,22.5
26-09-2019 00:00,27.4
27-09-2019 00:00,26.8
28-09-2019 00:00,28.1
29-09-2019 00:00,28.1
30-09-2019 00:00,28.1
01-10-2019 00:00,27.8
02-10-2019 00:00,23.7
03-10-2019 00:00,28.5
04-10-2019 00:00,25.8
05-10-2019 00:00,30.3
06-10-2019 00:00,29.7
08-10-2019 00:00,29.9
09-10-2019 00:00,29.3
10-10-2019 00:00,25.3
11-10-2019 00:00,27.7
12-10-2019 00:00,28
13-10-2019 00:00,29.6
14-10-2019 00:00,28.2
15-10-2019 00:00,28.2
16-10-2019 00:00,27.2
17-10-2019 00:00,23.7
18-10-2019 00:00,28.4
19-10-2019 00:00,28.7
20-10-2019 00:00,30.7
21-10-2019 00:00,31.1
22-10-2019 00:00,31.1
23-10-2019 00:00,31.3
24-10-2019 00:00,28.7
25-10-2019 00:00,29.1
26-10-2019 00:00,29.6
27-10-2019 00:00,29.4
28-10-2019 00:00,22.8
29-10-2019 00:00,26.6
30-10-2019 00:00,29.6
31-10-2019 00:00,34
01-11-2019 00:00,12.1
02-11-2019 00:00,13.1
03-11-2019 00:00,12.8
04-11-2019 00:00,13.3
05-11-2019 00:00,14
06-11-2019 00:00,14.1
08-11-2019 00:00,11.8
09-11-2019 00:00,27.3
10-11-2019 00:00,26.8
11-11-2019 00:00,27.9
12-11-2019 00:00,28.5
13-11-2019 00:00,27.8
14-11-2019 00:00,27.6
15-11-2019 00:00,25.3
16-11-2019 00:00,28.1
17-11-2019 00:00,28.1
18-11-2019 00:00,29.9
19-11-2019 00:00,29.2
20-11-2019 00:00,29.1
21-11-2019 00:00,28
22-11-2019 00:00,25.2
23-11-2019 00:00,28.4
24-11-2019 00:00,29
25-11-2019 00:00,28
26-11-2019 00:00,27.5
27-11-2019 00:00,26.9
28-11-2019 00:00,28.3
29-11-2019 00:00,27.9
30-11-2019 00:00,29.3
01-12-2019 00:00,30.1
02-12-2019 00:00,29.2
03-12-2019 00:00,30.2
04-12-2019 00:00,30.8
05-12-2019 00:00,31.1
06-12-2019 00:00,27.8
08-12-2019 00:00,16.5
09-12-2019 00:00,20.1
10-12-2019 00:00,21
11-12-2019 00:00,21.4
12-12-2019 00:00,20.7
13-12-2019 00:00,21.9
14-12-2019 00:00,22.4
15-12-2019 00:00,28
16-12-2019 00:00,29.2
17-12-2019 00:00,28.8
18-12-2019 00:00,27.1
19-12-2019 00:00,27.2
20-12-2019 00:00,26.6
21-12-2019 00:00,25.2
22-12-2019 00:00,29.4
23-12-2019 00:00,29.7
24-12-2019 00:00,30.3
25-12-2019 00:00,31.2
26-12-2019 00:00,29.2
27-12-2019 00:00,29.3
28-12-2019 00:00,27.6
29-12-2019 00:00,29.9
30-12-2019 00:00,31.6
31-12-2019 00:00,31.6
01-01-2020 00:00,31.7
02-01-2020 00:00,30.6
03-01-2020 00:00,31
04-01-2020 00:00,28.7
05-01-2020 00:00,26.4
13-01-2020 00:00,19.7
14-01-2020 00:00,23.4
15-01-2020 00:00,24.3
16-01-2020 00:00,23.8
17-01-2020 00:00,25.5
18-01-2020 00:00,22.7
19-01-2020 00:00,28.1
20-01-2020 00:00,28.2
21-01-2020 00:00,29.8
22-01-2020 00:00,29
23-01-2020 00:00,29.8
24-01-2020 00:00,27
25-01-2020 00:00,25.3
26-01-2020 00:00,25.4
27-01-2020 00:00,26.2
28-01-2020 00:00,25.3
29-01-2020 00:00,25.2
30-01-2020 00:00,26.7
31-01-2020 00:00,26.8
01-02-2020 00:00,24.8
02-02-2020 00:00,26.7
03-02-2020 00:00,22.4
04-02-2020 00:00,25.9
05-02-2020 00:00,27.2
13-02-2020 00:00,27.8
14-02-2020 00:00,27.6
15-02-2020 00:00,25.6
16-02-2020 00:00,29.9
17-02-2020 00:00,30.1
18-02-2020 00:00,30.3
19-02-2020 00:00,30.6
20-02-2020 00:00,30.4
21-02-2020 00:00,29.9
22-02-2020 00:00,27.3
23-02-2020 00:00,26.7
24-02-2020 00:00,27.4
25-02-2020 00:00,28.4
26-02-2020 00:00,28
27-02-2020 00:00,28.5
28-02-2020 00:00,28.6
29-02-2020 00:00,25.8
01-03-2020 00:00,30.8
02-03-2020 00:00,31.3
03-03-2020 00:00,27.9
04-03-2020 00:00,28.8
05-03-2020 00:00,30.2
13-03-2020 00:00,30.3
14-03-2020 00:00,28.4
15-03-2020 00:00,29.9
16-03-2020 00:00,29.9
17-03-2020 00:00,25
18-03-2020 00:00,28.1
19-03-2020 00:00,28.2
20-03-2020 00:00,29.8
21-03-2020 00:00,29
22-03-2020 00:00,11.9
23-03-2020 00:00,12.4
24-03-2020 00:00,12.6
25-03-2020 00:00,13.3
26-03-2020 00:00,13.1
27-03-2020 00:00,13.2
28-03-2020 00:00,13
29-03-2020 00:00,26.4
30-03-2020 00:00,27.2
31-03-2020 00:00,27.9
01-04-2020 00:00,26.5
02-04-2020 00:00,27.2
03-04-2020 00:00,27.4
04-04-2020 00:00,25.9
05-04-2020 00:00,27.7
13-04-2020 00:00,28.2
14-04-2020 00:00,29.3
15-04-2020 00:00,28.2
16-04-2020 00:00,28.7
17-04-2020 00:00,28
18-04-2020 00:00,25.1
19-04-2020 00:00,29
20-04-2020 00:00,30.4
21-04-2020 00:00,29.7
22-04-2020 00:00,26.2
23-04-2020 00:00,26.2
24-04-2020 00:00,28.6
25-04-2020 00:00,27.6
26-04-2020 00:00,30.3
27-04-2020 00:00,28.1
28-04-2020 00:00,30.4
29-04-2020 00:00,29
30-04-2020 00:00,30.6
01-05-2020 00:00,30.1
02-05-2020 00:00,26.8
03-05-2020 00:00,16.1
04-05-2020 00:00,17.6
05-05-2020 00:00,18.4
13-05-2020 00:00,19.9
14-05-2020 00:00,17.4
15-05-2020 00:00,19.2
16-05-2020 00:00,19.6
17-05-2020 00:00,30.2
18-05-2020 00:00,30.7
19-05-2020 00:00,30.1
20-05-2020 00:00,30.5
21-05-2020 00:00,31.1
22-05-2020 00:00,30.3
23-05-2020 00:00,27.5
01-06-2020 00:00,28.3
02-06-2020 00:00,28.4
03-06-2020 00:00,29.6
04-06-2020 00:00,29.9
05-06-2020 00:00,30.4
01-07-2020 00:00,30
02-07-2020 00:00,26.4
03-07-2020 00:00,29.5
04-07-2020 00:00,30.7
05-07-2020 00:00,30.7
01-08-2020 00:00,29.9
02-08-2020 00:00,30.8
03-08-2020 00:00,31.1
04-08-2020 00:00,28.2
05-08-2020 00:00,27.5
01-09-2020 00:00,28.4
02-09-2020 00:00,28.2
03-09-2020 00:00,29.4
04-09-2020 00:00,29.6
05-09-2020 00:00,30.5
01-10-2020 00:00,27.5
02-10-2020 00:00,29.6
03-10-2020 00:00,30.6
04-10-2020 00:00,31.8
05-10-2020 00:00,30
01-11-2020 00:00,29.9
02-11-2020 00:00,29.9
03-11-2020 00:00,25
04-11-2020 00:00,24.9
05-11-2020 00:00,24.7
01-12-2020 00:00,25.4
02-12-2020 00:00,25.8
